trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99525}",25,3,-220.5769829334859,"{0: 8, 1: 7, 2: 2, 3: 1, 4: 4}",1
2,False,"{'a': 0.5, 'e': 0.9904999999999999}",30,0,-145.76558835560743,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9857499999999999}",30,0,-150.6362683043313,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9809999999999999}",35,0,-335.49042891909204,"{0: 17, 1: 5, 2: 4, 3: 3, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.9762499999999998}",20,10,-0.2245723569857414,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9714999999999998}",20,11,-17.20768858943666,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9667499999999998}",20,0,-132.1938286683793,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9619999999999997}",20,0,-70.20493930895469,"{0: 9, 1: 7, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9572499999999997}",20,1,-82.08680405040916,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9524999999999997}",30,12,-71.2752935671841,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9477499999999996}",25,5,-17.585341849954467,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9429999999999996}",30,17,-51.096243130451384,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9382499999999996}",20,11,-4.556827166599555,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9334999999999996}",20,13,-11.292589793400106,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9287499999999995}",20,1,-101.81291148439396,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9239999999999995}",20,0,0.8194015860988146,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9192499999999995}",20,5,-37.75384100056714,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9144999999999994}",25,5,-118.76721502197194,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.9097499999999994}",20,5,-133.25660870612393,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.9049999999999994}",20,7,-69.92667282093585,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.9002499999999993}",20,7,-18.80005862214781,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8954999999999993}",20,9,-41.38977339319269,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.8907499999999993}",20,4,-91.13987674376126,"{0: 7, 1: 6, 2: 1, 3: 1, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.8859999999999992}",20,7,-11.428132728263225,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.8812499999999992}",20,8,-29.411312724049804,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.8764999999999992}",30,12,-36.937380133188434,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.8717499999999991}",20,13,2.586343114571807,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.8669999999999991}",25,0,-123.25511189690326,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8622499999999991}",20,8,-64.60468593837535,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.857499999999999}",30,15,-21.143958489039814,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.852749999999999}",25,10,-23.020065993007325,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.847999999999999}",20,10,-41.454105421689704,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.843249999999999}",20,8,-45.828378648208364,"{0: 5, 1: 5, 2: 1, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.8384999999999989}",25,12,-9.211185403425624,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.8337499999999989}",30,9,-114.81264624520284,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 2}",1
36,False,"{'a': 0.5, 'e': 0.8289999999999988}",30,22,17.03265633998072,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.8242499999999988}",20,11,-15.039584128894859,"{0: 4, 1: 5, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.8194999999999988}",20,9,-31.976359211007175,"{0: 8, 1: 1, 2: 0, 3: 2, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.8147499999999988}",20,11,-1.3647112068061817,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.8099999999999987}",30,12,-109.93186437030582,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 2}",1
41,False,"{'a': 0.5, 'e': 0.8052499999999987}",30,21,-33.320663523829424,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.8004999999999987}",25,15,9.625278156567369,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.7957499999999986}",25,11,-36.48563326986107,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.7909999999999986}",20,14,4.607802829090095,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.7862499999999986}",20,10,-36.122620097930536,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.7814999999999985}",20,0,-83.84318696514907,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",1
47,False,"{'a': 0.5, 'e': 0.7767499999999985}",20,9,-35.894910040251666,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.7719999999999985}",25,4,-104.5295225630012,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 2}",1
49,False,"{'a': 0.5, 'e': 0.7672499999999984}",20,8,-36.813480554483604,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.7624999999999984}",25,9,-20.992552911998104,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.7577499999999984}",20,3,-57.63729600134888,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.7529999999999983}",30,19,-17.618676102555536,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.7482499999999983}",30,10,-44.92545862796938,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.7434999999999983}",25,11,-24.14756406454685,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7387499999999982}",25,0,-98.20996363947297,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.7339999999999982}",20,14,12.24312652188567,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.7292499999999982}",30,16,4.098600086065812,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.7244999999999981}",20,8,-43.90168847895332,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.7197499999999981}",20,5,-22.866463534414176,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.7149999999999981}",30,3,-64.11898608736614,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.710249999999998}",20,12,-8.144893367213005,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.705499999999998}",20,8,-55.891162773901854,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.700749999999998}",20,4,-31.523420359440653,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.695999999999998}",20,12,-32.58696871893222,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.6912499999999979}",25,10,-47.62087952724138,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.6864999999999979}",30,14,-21.40996485407723,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.6817499999999979}",30,0,11.054911676001987,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.6769999999999978}",30,8,-133.7407331764249,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 3}",1
69,False,"{'a': 0.5, 'e': 0.6722499999999978}",25,9,-19.889377251510847,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.6674999999999978}",20,4,-91.26731212204146,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
71,False,"{'a': 0.5, 'e': 0.6627499999999977}",30,10,-32.63257071411106,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.6579999999999977}",35,8,-78.65790255639364,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 1}",1
