trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",25,2,-94.43462960427978,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 1}",1
2,False,"{'a': 0.75, 'e': 1.0}",30,12,-42.11719068781978,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.75, 'e': 1.0}",25,13,-85.59332613639279,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
4,False,"{'a': 0.75, 'e': 1.0}",25,3,-105.43927279734771,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.75, 'e': 1.0}",20,0,-86.73589191551838,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.75, 'e': 1.0}",20,7,-32.007139353680095,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.75, 'e': 1.0}",20,0,-41.666684287278564,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.75, 'e': 1.0}",25,4,-132.5773081736002,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 2}",1
9,False,"{'a': 0.75, 'e': 1.0}",20,0,-67.49531145372178,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.75, 'e': 1.0}",20,3,-50.09367252670611,"{0: 8, 1: 8, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.75, 'e': 1.0}",25,12,-28.721684556581906,"{0: 7, 1: 4, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.75, 'e': 1.0}",30,12,-58.25075443998415,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.75, 'e': 1.0}",20,10,-47.369006633853395,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.75, 'e': 1.0}",30,6,-48.23477684961966,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.75, 'e': 1.0}",25,11,-31.302294332524816,"{0: 10, 1: 2, 2: 0, 3: 2, 4: 0}",1
16,False,"{'a': 0.75, 'e': 1.0}",25,5,-87.63248810620604,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.75, 'e': 1.0}",20,4,-48.32980791103304,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 0}",1
18,False,"{'a': 0.75, 'e': 1.0}",25,2,-20.556513508076563,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.75, 'e': 1.0}",20,2,-74.10760972560436,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 0}",1
20,False,"{'a': 0.75, 'e': 1.0}",30,12,-41.19252257598834,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 0}",1
21,False,"{'a': 0.75, 'e': 1.0}",30,17,-87.12741223800745,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
22,False,"{'a': 0.75, 'e': 1.0}",30,12,-61.18408339512004,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
23,False,"{'a': 0.75, 'e': 1.0}",20,9,-26.560298715762794,"{0: 5, 1: 5, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.75, 'e': 1.0}",30,1,-75.95674347314872,"{0: 17, 1: 9, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.75, 'e': 1.0}",25,7,-104.5886179533702,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 1}",1
