trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",35,0,-244.81304502416558,"{0: 19, 1: 4, 2: 5, 3: 4, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1}",20,0,-173.08253430624595,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1}",20,0,-121.02557839132,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1}",20,0,-85.60283805492897,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1}",25,0,-210.5124044402767,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1}",25,0,-176.70297277664432,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1}",20,0,-18.98479191081479,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1}",25,0,-120.93979962423141,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1}",20,0,-173.06580428037293,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1}",25,0,-83.32737149693811,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1}",20,0,-125.98017877817219,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1}",25,0,-204.47853770802243,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1}",30,0,-137.44284842030234,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1}",20,15,0.6991817018270905,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1}",20,0,-103.04246064792105,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1}",25,14,-39.74063042548729,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1}",20,0,-73.00107843958908,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1}",30,0,-52.919155660787006,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1}",25,0,-112.90496693886128,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1}",25,1,-87.57951162639054,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1}",20,0,-187.95852962764118,"{0: 9, 1: 1, 2: 5, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1}",25,0,-149.37397968125197,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1}",20,0,-89.15176400427998,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1}",30,0,-63.24617199845744,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1}",20,0,-108.49717425064975,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1}",30,0,-135.8223240432925,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1}",25,0,-218.86946189432277,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1}",20,0,-114.01818595872565,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1}",20,0,-133.29070067587557,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1}",20,0,-51.72720592053807,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
